plot,general,region,lat,lon,elevation
SEG12,SEG,BE,53.0873908996582,13.965167045593262,
SEG13,SEG,BE,52.97297286987305,13.819036483764648,
SEG14,SEG,BE,53.086612701416016,13.980259895324707,
SEG15,SEG,BE,53.109413146972656,14.009140014648438,
SEG16,SEG,BE,53.115535736083984,13.99915599822998,
SEG17,SEG,BE,53.09832763671875,13.625999450683594,
SEG18,SEG,BE,53.137306213378906,13.875609397888184,
SEG19,SEG,BE,53.124515533447266,14.0090913772583,
SEG20,SEG,BE,53.103515625,13.615381240844727,
SEG21,SEG,BE,53.10624313354492,13.611112594604492,
SEG22,SEG,BE,53.10083770751953,13.97380256652832,
SEG23,SEG,BE,53.107662200927734,14.025904655456543,
SEG24,SEG,BE,53.09303665161133,13.99608039855957,
SEG25,SEG,BE,53.11063003540039,13.617990493774414,
SEG26,SEG,BE,53.105831146240234,14.018434524536133,
SEG27,SEG,BE,53.12278366088867,13.707381248474121,
SEG28,SEG,BE,53.09312057495117,14.006080627441406,
SEG29,SEG,BE,53.090362548828125,13.998695373535156,
SEG30,SEG,BE,53.14813995361328,13.830680847167969,
SEG31,SEG,BE,53.149085998535156,13.835437774658203,
SEG32,SEG,BE,53.15192794799805,13.832087516784668,
SEG33,SEG,BE,52.98578643798828,13.842513084411621,
SEG34,SEG,BE,52.98313522338867,13.847199440002441,
SEG35,SEG,BE,52.98027038574219,13.848318099975586,
SEG36,SEG,BE,52.986907958984375,13.83764362335205,
SEG37,SEG,BE,53.13492965698242,13.876030921936035,
SEG38,SEG,BE,53.1157341003418,13.675764083862305,
SEG39,SEG,BE,52.98092269897461,13.823287010192871,
SEG40,SEG,BE,53.115699768066406,13.84067153930664,
SEG41,SEG,BE,53.1221923828125,13.85234260559082,
SEG42,SEG,BE,52.87067413330078,13.968829154968262,
SEG43,SEG,BE,52.87657928466797,13.967827796936035,
SEG44,SEG,BE,52.88005828857422,13.965189933776855,
SEG45,SEG,BE,52.88145446777344,13.959392547607422,
SEG46,SEG,BE,52.97843933105469,13.826332092285156,
SEG47,SEG,BE,52.987266540527344,13.827582359313965,
SEG48,SEG,BE,53.097206115722656,13.60664176940918,
SEG49,SEG,BE,52.974735260009766,13.856578826904297,
SEG50,SEG,BE,53.12177658081055,13.750387191772461,
SET39,SEW,BE,52.9250602722168,13.86874008178711,66.0
SEW01,SEW,BE,52.900848388671875,13.846366882324219,
SEW02,SEW,BE,52.95172882080078,13.77802848815918,
SEW03,SEW,BE,52.92070770263672,13.643001556396484,
SEW04,SEW,BE,52.9173469543457,13.847311019897461,
SEW05,SEW,BE,53.05703353881836,13.885366439819336,
SEW06,SEW,BE,52.90744400024414,13.84168815612793,
SEW07,SEW,BE,53.10734939575195,13.694418907165527,
SEW08,SEW,BE,53.191795349121094,13.930337905883789,
SEW09,SEW,BE,53.044586181640625,13.810103416442871,
SEW10,SEW,BE,53.091094970703125,13.637843132019043,
SEW11,SEW,BE,53.090293884277344,13.63370418548584,
SEW12,SEW,BE,53.08832931518555,13.698263168334961,
SEW13,SEW,BE,53.01636505126953,13.863927841186523,
SEW14,SEW,BE,52.91791534423828,13.75217342376709,
SEW15,SEW,BE,52.91454315185547,13.737552642822266,
SEW16,SEW,BE,53.07658386230469,13.863986015319824,
SEW17,SEW,BE,52.942352294921875,13.827486991882324,
SEW18,SEW,BE,52.862422943115234,13.917247772216797,
SEW19,SEW,BE,53.09398651123047,13.635079383850098,
SEW20,SEW,BE,53.08860397338867,13.635384559631348,
SEW21,SEW,BE,52.91558837890625,13.740450859069824,
SEW22,SEW,BE,53.06013870239258,13.914074897766113,
SEW23,SEW,BE,52.948974609375,13.779191970825195,
SEW24,SEW,BE,52.88972091674805,13.96717357635498,
SEW25,SEW,BE,52.920982360839844,13.761096000671387,
SEW26,SEW,BE,52.91740036010742,13.74618148803711,
SEW27,SEW,BE,52.88995361328125,14.001044273376465,
SEW28,SEW,BE,52.88395690917969,13.664041519165039,
SEW29,SEW,BE,53.01723861694336,13.862236022949219,
SEW30,SEW,BE,53.062137603759766,13.92236328125,
SEW31,SEW,BE,52.88107681274414,13.903369903564453,
SEW32,SEW,BE,53.06277084350586,13.927045822143555,
SEW33,SEW,BE,52.915042877197266,13.88743782043457,
SEW34,SEW,BE,52.89582443237305,13.852147102355957,
SEW35,SEW,BE,52.9112663269043,13.853418350219727,
SEW36,SEW,BE,52.95136260986328,13.754142761230469,
SEW37,SEW,BE,52.94002151489258,13.782611846923828,
SEW38,SEW,BE,52.88848114013672,13.670737266540527,
SEW39,SEW,BE,52.92475509643555,13.866445541381836,
SEW40,SEW,BE,52.91476821899414,13.862364768981934,
SEW41,SEW,BE,52.91229248046875,13.90992546081543,
SEW42,SEW,BE,52.902748107910156,13.914534568786621,
SEW43,SEW,BE,52.900978088378906,13.928325653076172,
SEW44,SEW,BE,52.918460845947266,13.859220504760742,
SEW45,SEW,BE,53.04545593261719,13.837888717651367,
SEW46,SEW,BE,53.072120666503906,13.777443885803223,
SEW47,SEW,BE,53.0712776184082,13.77136516571045,
SEW48,SEW,BE,53.051265716552734,13.844995498657227,
SEW49,SEW,BE,52.88526153564453,13.891230583190918,
SEW50,SEW,BE,53.039527893066406,13.787043571472168,
