"station","general","lat","lon"
"TYGERHOEK","SAWS","-34.1497","19.9031"
"TZANEEN - MIDDLE LETABA DAM ARS","SAWS","-23.2831","30.4147"
"TZANEEN DAM ARS","SAWS","-23.7969","30.1681"
"TZANEEN-WESTFALIA ESTATE","SAWS","-23.7389","30.1211"
"Technical Service ARS Test","SAWS","-25.91","28.2111"
"Tsabong","SASSCAL","NA","NA"
"Tshane","SASSCAL","NA","NA"
"Tsumis","SASSCAL","NA","NA"
"Tsumkwe Breeding Station","SASSCAL","NA","NA"
"Tundavala","SASSCAL","NA","NA"
"UITENHAGE","SAWS","-33.7142","25.435"
"ULUNDI","SAWS","-28.3","31.42"
"ULUNDI WASTE WATER ARS","SAWS","-28.3475","31.4239"
"UNIVERSITY OF ZULULAND","SAWS","-28.8517","31.8531"
"VAALHOEK","SAWS","-24.733","30.783"
"VAN DER KLOOF DAM ARS","SAWS","-29.9971","24.7187"
"VAN REENEN","SAWS","-28.3789","29.3853"
"VANDYKSDRIFT - DOUGLAS COLLIERY ARS","SAWS","-26.1","29.317"
"VENETIA MINE","SAWS","-22.4517","29.3314"
"VENTERSRUST ARS","SAWS","-25.9886","24.0869"
"VEREENIGING","SAWS","-26.567","27.95"
"VILLIERSDORP-SOS ARS","SAWS","-34.017","19.226"
"VIRGINIA","SAWS","-29.767","31.05"
"VREDE","SAWS","-27.4228","29.1694"
"VREDENDAL","SAWS","-31.673","18.496"
"VRYHEID","SAWS","-27.7772","30.7961"
"Vogelfederberg","SASSCAL","NA","NA"
"WARDEN - HERITAGE","SAWS","-27.9611","29.0594"
"WARMBAD TOWOOMBA","SAWS","-24.9","28.33"
"WATERKLOOF AIR FORCE BASE","SAWS","-25.8278","28.2236"
"WELKOM","SAWS","-27.9947","26.6658"
"WELLINGTON","SAWS","-33.6511","19.0067"
"WEPENER","SAWS","-29.9156","26.8469"
"WESTONARIA KLOOF GOLD MINE ARS","SAWS","-26.4","27.6"
"WILLOWMORE","SAWS","-33.3003","23.4839"
"WITBANK","SAWS","-25.8369","29.1887"
"WITSIESHOEK ARS","SAWS","-28.534","28.796"
"WOLMARANSSTAD","SAWS","-27.2139","25.9783"
"WONDERBOOM AIRPORT","SAWS","-25.6561","28.2169"
"WORCESTER-AWS","SAWS","-33.6639","19.4186"
"Waterberg","SASSCAL","NA","NA"
"Werda","SASSCAL","NA","NA"
"Windhoek (NBRI)","SASSCAL","NA","NA"
"Windhoek (Satellite)","SASSCAL","NA","NA"
"Wlotzkasbaken","SASSCAL","NA","NA"
"ZUURBEKOM ARS","SAWS","-26.3003","27.8025"
"Zambezi","SASSCAL","NA","NA"
