PlotID;Categories;ECOSYID;FocalPlot;Easting;Northing;Lon;Lat;Installed;Phase01;Phase02;Final;Keyword;LINK
hom2;homegarden;35;N;311900;9638859;37.30796752;-3.268625787;T-H;none;none;T-H;Basic;NA
hom3;homegarden;35;N;324329;9638776;37.41979923;-3.269556241;T-H;none;none;T-H;Basic;NA
hom5;homegarden;35;N;344850;9638399;37.60444526;-3.273239826;T-H;none;none;T-H;Basic;NA
sav1;savanna;36;N;328246;9627145;37.45488224;-3.374798389;T-H;none;none;T-H;Basic;NA
sav2;savanna;36;N;332860;9626495;37.4965256;-3.380924975;T-H;none;none;T-H;Basic;NA
sav3;savanna;36;N;349154;9632093;37.64309873;-3.330329109;T-H;none;none;T-H;Basic;NA
sav5;savanna;36;N;353697;9634606;37.68401527;-3.307654271;T-H;none;none;T-H;Basic;NA
sun1;sun coffee plantation;41;N;299310;9637754;37.19467539;-3.278414563;T-H;none;ET;T-H;Basic;NA
sun2;sun coffee plantation;41;N;307833;9642535;37.27142744;-3.235324365;T-H;none;none;T-H;Basic;NA
sun3;sun coffee plantation;41;N;314221;9641044;37.32888583;-3.248900188;T-H;none;none;T-H;Basic;NA
sun4;sun coffee plantation;41;N;313655;9638120;37.32375035;-3.275337376;T-H;none;none;T-H;Basic;NA
mai1;maize;31;Y;304837;9634244;37.24434272;-3.310248887;T-H;none;none;T-H;Basic;NA
fod2;forest Ocotea disturbed;43;Y;317486;9648257;37.35836237;-3.183720573;T-H;P-SDR;ET;T-H-P-SDR;Enhanced;NA
hom4;homegarden;35;Y;332478;9631277;37.49302363;-3.337486933;T-H-P-PAR;SDR;ET;T-H-P-SDR-PAR;Enhanced;NA
mai0;maize;31;N;304720;9634360;37.24329597;-3.309196107;T-H-SDR-SUR-LDR-LUR-P-WD-WS;none;ET;T-H-SDR-SUR-LDR-LUR-P-WD-WS;AWS;NA
cof3;coffee plantation;32;Y;313265;9641155;37.32028297;-3.247886238;T-H-SDR-SUR-LDR-LUR-P-WD-WS-PAR;none;ET;T-H-SDR-SUR-LDR-LUR-P-WD-WS-PAR;AWS;NA
gra1;grassland;34;Y;305222;9648624;37.24803575;-3.180214603;T-H-P;T-H-SDR-SUR-LDR-LUR-P-WD-WS;ET;T-H-SDR-SUR-LDR-LUR-P-WD-WS;AWS;NA
hel1;Helichrysum;62;Y;308189;9662706;37.2749363;-3.052922381;T-H-SDR-SUR-LDR-LUR-P-WD-WS;F;ET;T-H-SDR-SUR-LDR-LUR-P-WD-WS-F;AWS;NA
sav0;savanna;36;N;353790;9633700;37.68483864;-3.315851993;T-H-SDR-SUR-LDR-LUR-P-WD-WS;none;ET;T-H-SDR-SUR-LDR-LUR-P-WD-WS;AWS;NA
fer0;forest Erica;61;Y;310160;9659639;37.29262254;-3.080687047;T-H;P-WD-P-F-TF-SDR;ET;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
flm1;forest lower montane;33;Y;303911;9650024;37.23626359;-3.167537766;T-H;P-WD-P-F-TF-SDR;ET;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
foc0;forest Ocotea;42;N;305517;9655143;NA;NA;T-H-P-WD-P-F-TF;SDR;none;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
foc1;forest Ocotea;42;Y;304666;9652535;37.24309581;-3.144845947;T-H;P-WD-P-F-TF-SDR;ET;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
fpd0;forest Podocarpus disturbed;45;N;318507;9650446;NA;NA;T-H-P-WD-P-F-TF;SDR;ET;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
fpo0;forest Podocarpus;44;N;306560;9657127;NA;NA;T-H-P-WD-P-F-TF;SDR;ET;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
hom1;homegarden;35;N;305998;9647976;37.25500505;-3.186086095;T-H;P-WD-P-F-TF-SDR;none;T-H-P-WD-P-F-TF-SDR;Throughfall;NA
sav4;savanna;36;Y;353572;9633371;37.68287222;-3.318823282;T-H;P-SDR;WD-TF;T-H-P-SDR-WD-TF;Throughfall;NA
nkw1;Nkweseko garden;64;N;304436;9648105;37.24081165;-3.184944217;FULL-F;none;CBT;CBT;CBT;NA
kmtc1;NA;NA;N;303902;9632817;NA;NA;DSLR;none;none;DSLR;DSLR;<a href='http://www.staff.uni-marburg.de/~appelhat/20120615_tlc_example.jpg' target='_blank'>Example image</a>
kmtc2;NA;NA;N;303102;9632817;NA;NA;DSLR;none;none;DSLR;DSLR;<a href='http://www.staff.uni-marburg.de/~appelhat/20120615_tlc_example.jpg' target='_blank'>Example image</a>
jul1;forest Podocarpus disturbed;45;N;307050;9657771;37.26461637;-3.097530965;none;none;none;none;none;NA
jul2;Helichrysum;62;N;309388;9659891;37.28567905;-3.078394236;none;none;none;none;none;NA
jul3;Helichrysum;62;N;310338;9663426;37.29427543;-3.046440926;none;none;none;none;none;NA
eph1;forest lower montane;33;N;335294;9641977;NA;NA;none;P;none;P;none;NA
gra0;grassland;34;N;304636;9648393;37.24275674;-3.182299505;none;none;none;none;none;NA
kid1;scientific garden;63;N;323752;9635334;37.41426647;-3.301725946;none;none;none;none;none;NA
kid2;scientific garden;63;N;320185;9631524;37.38235902;-3.335116842;none;none;none;none;none;NA
kid3;scientific garden;63;N;319624;9631909;37.377362;-3.331591;none;none;none;none;none;NA
kil1;NA;NA;N;328819;9641755;NA;NA;none;P;none;P;none;NA
man1;NA;NA;N;334735;9648514;NA;NA;none;P;none;P;none;NA
